frequency_mhz,cavity_power_transfer,linewidth_mhz,generated_data_provenance,parameter_match
0.23500000000000001,0.2619445372535917,0.14,formula_numerics,reconstructed_transfer_convention
0.24,0.25388601036269437,0.14,formula_numerics,reconstructed_transfer_convention
0.245,0.2461538461538462,0.14,formula_numerics,reconstructed_transfer_convention
0.25,0.23873325213154692,0.14,formula_numerics,reconstructed_transfer_convention
0.255,0.23161004431314625,0.14,formula_numerics,reconstructed_transfer_convention
0.26,0.2247706422018349,0.14,formula_numerics,reconstructed_transfer_convention
0.265,0.21820205956025607,0.14,formula_numerics,reconstructed_transfer_convention
0.27,0.2118918918918919,0.14,formula_numerics,reconstructed_transfer_convention
0.275,0.20582830139144132,0.14,formula_numerics,reconstructed_transfer_convention
0.28,0.2,0.14,formula_numerics,reconstructed_transfer_convention
0.28500000000000003,0.19439623109347884,0.14,formula_numerics,reconstructed_transfer_convention
0.29,0.18900675024108007,0.14,formula_numerics,reconstructed_transfer_convention
0.295,0.18382180539273157,0.14,formula_numerics,reconstructed_transfer_convention
0.3,0.17883211678832117,0.14,formula_numerics,reconstructed_transfer_convention
0.305,0.1740288568257492,0.14,formula_numerics,reconstructed_transfer_convention
0.31,0.16940363007778741,0.14,formula_numerics,reconstructed_transfer_convention
0.315,0.16494845360824742,0.14,formula_numerics,reconstructed_transfer_convention
0.32,0.16065573770491803,0.14,formula_numerics,reconstructed_transfer_convention
0.325,0.1565182671191855,0.14,formula_numerics,reconstructed_transfer_convention
0.33,0.15252918287937742,0.14,formula_numerics,reconstructed_transfer_convention
0.335,0.14868196472596246,0.14,formula_numerics,reconstructed_transfer_convention
0.34,0.14497041420118345,0.14,formula_numerics,reconstructed_transfer_convention
0.34500000000000003,0.14138863841298466,0.14,formula_numerics,reconstructed_transfer_convention
0.35000000000000003,0.13793103448275862,0.14,formula_numerics,reconstructed_transfer_convention
0.355,0.13459227467811163,0.14,formula_numerics,reconstructed_transfer_convention
0.36,0.1313672922252011,0.14,formula_numerics,reconstructed_transfer_convention
0.365,0.12825126778995585,0.14,formula_numerics,reconstructed_transfer_convention
0.37,0.12523961661341854,0.14,formula_numerics,reconstructed_transfer_convention
0.375,0.12232797628335154,0.14,formula_numerics,reconstructed_transfer_convention
0.38,0.11951219512195124,0.14,formula_numerics,reconstructed_transfer_convention
0.385,0.11678832116788321,0.14,formula_numerics,reconstructed_transfer_convention
0.39,0.11415259172976122,0.14,formula_numerics,reconstructed_transfer_convention
0.395,0.11160142348754451,0.14,formula_numerics,reconstructed_transfer_convention
0.4,0.1091314031180401,0.14,formula_numerics,reconstructed_transfer_convention
0.405,0.10673927842069435,0.14,formula_numerics,reconstructed_transfer_convention
0.41000000000000003,0.10442194992008526,0.14,formula_numerics,reconstructed_transfer_convention
0.41500000000000004,0.10217646292193405,0.14,formula_numerics,reconstructed_transfer_convention
0.42,0.10000000000000002,0.14,formula_numerics,reconstructed_transfer_convention
0.425,0.09788987389187168,0.14,formula_numerics,reconstructed_transfer_convention
0.43,0.0958435207823961,0.14,formula_numerics,reconstructed_transfer_convention
0.435,0.09385849395426796,0.14,formula_numerics,reconstructed_transfer_convention
0.44,0.09193245778611633,0.14,formula_numerics,reconstructed_transfer_convention
0.445,0.0900631820792648,0.14,formula_numerics,reconstructed_transfer_convention
0.45,0.08824853669518237,0.14,formula_numerics,reconstructed_transfer_convention
0.455,0.08648648648648649,0.14,formula_numerics,reconstructed_transfer_convention
0.46,0.08477508650519032,0.14,formula_numerics,reconstructed_transfer_convention
0.465,0.08311247747270223,0.14,formula_numerics,reconstructed_transfer_convention
0.47000000000000003,0.08149688149688149,0.14,formula_numerics,reconstructed_transfer_convention
0.47500000000000003,0.07992659802222449,0.14,formula_numerics,reconstructed_transfer_convention
0.48,0.07840000000000003,0.14,formula_numerics,reconstructed_transfer_convention
0.485,0.07691553026586874,0.14,formula_numerics,reconstructed_transfer_convention
0.49,0.07547169811320757,0.14,formula_numerics,reconstructed_transfer_convention
0.495,0.0740670760510156,0.14,formula_numerics,reconstructed_transfer_convention
0.5,0.07270029673590506,0.14,formula_numerics,reconstructed_transfer_convention
0.505,0.07137005006827493,0.14,formula_numerics,reconstructed_transfer_convention
0.51,0.07007508044333215,0.14,formula_numerics,reconstructed_transfer_convention
0.515,0.06881418414816116,0.14,formula_numerics,reconstructed_transfer_convention
0.52,0.06758620689655173,0.14,formula_numerics,reconstructed_transfer_convention
0.525,0.06639004149377593,0.14,formula_numerics,reconstructed_transfer_convention
0.53,0.06522462562396007,0.14,formula_numerics,reconstructed_transfer_convention
0.535,0.0640889397531268,0.14,formula_numerics,reconstructed_transfer_convention
0.54,0.06298200514138817,0.14,formula_numerics,reconstructed_transfer_convention
0.545,0.061902881958152384,0.14,formula_numerics,reconstructed_transfer_convention
0.55,0.0608506674945669,0.14,formula_numerics,reconstructed_transfer_convention
0.555,0.05982449446776039,0.14,formula_numerics,reconstructed_transfer_convention
0.56,0.058823529411764705,0.14,formula_numerics,reconstructed_transfer_convention
0.5650000000000001,0.05784697115029883,0.14,formula_numerics,reconstructed_transfer_convention
0.5700000000000001,0.05689404934687955,0.14,formula_numerics,reconstructed_transfer_convention
0.5750000000000001,0.055964023127989135,0.14,formula_numerics,reconstructed_transfer_convention
0.58,0.05505617977528091,0.14,formula_numerics,reconstructed_transfer_convention
0.585,0.054169833483037395,0.14,formula_numerics,reconstructed_transfer_convention
0.59,0.05330432417731848,0.14,formula_numerics,reconstructed_transfer_convention
0.595,0.052459016393442644,0.14,formula_numerics,reconstructed_transfer_convention
0.6,0.05163329820864068,0.14,formula_numerics,reconstructed_transfer_convention
0.605,0.05082658022690438,0.14,formula_numerics,reconstructed_transfer_convention
0.61,0.05003829461322441,0.14,formula_numerics,reconstructed_transfer_convention
0.615,0.04926789417457426,0.14,formula_numerics,reconstructed_transfer_convention
0.62,0.04851485148514852,0.14,formula_numerics,reconstructed_transfer_convention
0.625,0.047778658053507235,0.14,formula_numerics,reconstructed_transfer_convention
0.63,0.047058823529411764,0.14,formula_numerics,reconstructed_transfer_convention
0.635,0.04635487494826465,0.14,formula_numerics,reconstructed_transfer_convention
0.64,0.0456663560111836,0.14,formula_numerics,reconstructed_transfer_convention
0.645,0.044992826398852236,0.14,formula_numerics,reconstructed_transfer_convention
0.65,0.04433386111739426,0.14,formula_numerics,reconstructed_transfer_convention
0.655,0.0436890498746169,0.14,formula_numerics,reconstructed_transfer_convention
0.66,0.043057996485061506,0.14,formula_numerics,reconstructed_transfer_convention
0.665,0.042440318302387266,0.14,formula_numerics,reconstructed_transfer_convention
0.67,0.04183564567769477,0.14,formula_numerics,reconstructed_transfer_convention
0.675,0.04124362144247462,0.14,formula_numerics,reconstructed_transfer_convention
0.68,0.04066390041493777,0.14,formula_numerics,reconstructed_transfer_convention
0.685,0.04009614892855317,0.14,formula_numerics,reconstructed_transfer_convention
0.6900000000000001,0.03954004438168247,0.14,formula_numerics,reconstructed_transfer_convention
0.6950000000000001,0.03899527480726187,0.14,formula_numerics,reconstructed_transfer_convention
0.7000000000000001,0.038461538461538464,0.14,formula_numerics,reconstructed_transfer_convention
0.705,0.037938543430921866,0.14,formula_numerics,reconstructed_transfer_convention
0.71,0.03742600725606265,0.14,formula_numerics,reconstructed_transfer_convention
0.715,0.036923656572316686,0.14,formula_numerics,reconstructed_transfer_convention
0.72,0.03643122676579926,0.14,formula_numerics,reconstructed_transfer_convention
0.725,0.03594846164427531,0.14,formula_numerics,reconstructed_transfer_convention
0.73,0.035475113122171956,0.14,formula_numerics,reconstructed_transfer_convention
0.735,0.03501094091903721,0.14,formula_numerics,reconstructed_transfer_convention
0.74,0.03455571227080395,0.14,formula_numerics,reconstructed_transfer_convention
0.745,0.034109201653252125,0.14,formula_numerics,reconstructed_transfer_convention
0.75,0.03367119051709329,0.14,formula_numerics,reconstructed_transfer_convention
0.755,0.03324146703413187,0.14,formula_numerics,reconstructed_transfer_convention
0.76,0.032819825853985275,0.14,formula_numerics,reconstructed_transfer_convention
0.765,0.032406067870871746,0.14,formula_numerics,reconstructed_transfer_convention
0.77,0.032,0.14,formula_numerics,reconstructed_transfer_convention
0.775,0.03160143496311822,0.14,formula_numerics,reconstructed_transfer_convention
0.78,0.03121019108280255,0.14,formula_numerics,reconstructed_transfer_convention
0.785,0.030826092085086305,0.14,formula_numerics,reconstructed_transfer_convention
0.79,0.03044896691005127,0.14,formula_numerics,reconstructed_transfer_convention
0.795,0.030078649530021106,0.14,formula_numerics,reconstructed_transfer_convention
0.8,0.02971497877501516,0.14,formula_numerics,reconstructed_transfer_convention
0.805,0.029357798165137616,0.14,formula_numerics,reconstructed_transfer_convention
0.81,0.029006955749593017,0.14,formula_numerics,reconstructed_transfer_convention
0.8150000000000001,0.028662303952034514,0.14,formula_numerics,reconstructed_transfer_convention
0.8200000000000001,0.02832369942196532,0.14,formula_numerics,reconstructed_transfer_convention
0.8250000000000001,0.027991002891927602,0.14,formula_numerics,reconstructed_transfer_convention
0.8300000000000001,0.027664079040225827,0.14,formula_numerics,reconstructed_transfer_convention
0.835,0.02734279635894396,0.14,formula_numerics,reconstructed_transfer_convention
0.84,0.027027027027027032,0.14,formula_numerics,reconstructed_transfer_convention
0.845,0.026716646788209245,0.14,formula_numerics,reconstructed_transfer_convention
0.85,0.02641153483358039,0.14,formula_numerics,reconstructed_transfer_convention
0.855,0.02611157368859284,0.14,formula_numerics,reconstructed_transfer_convention
0.86,0.02581664910432034,0.14,formula_numerics,reconstructed_transfer_convention
0.865,0.02552664995278873,0.14,formula_numerics,reconstructed_transfer_convention
0.87,0.02524146812620735,0.14,formula_numerics,reconstructed_transfer_convention
0.875,0.024960998439937605,0.14,formula_numerics,reconstructed_transfer_convention
0.88,0.024685138539042823,0.14,formula_numerics,reconstructed_transfer_convention
0.885,0.024413788808270796,0.14,formula_numerics,reconstructed_transfer_convention
0.89,0.02414685228532709,0.14,formula_numerics,reconstructed_transfer_convention
0.895,0.023884234577303886,0.14,formula_numerics,reconstructed_transfer_convention
0.9,0.02362584378013501,0.14,formula_numerics,reconstructed_transfer_convention
0.905,0.023371590400953948,0.14,formula_numerics,reconstructed_transfer_convention
0.91,0.023121387283236993,0.14,formula_numerics,reconstructed_transfer_convention
0.915,0.022875149534619086,0.14,formula_numerics,reconstructed_transfer_convention
0.92,0.02263279445727483,0.14,formula_numerics,reconstructed_transfer_convention
0.925,0.022394241480762092,0.14,formula_numerics,reconstructed_transfer_convention
0.93,0.022159412097230078,0.14,formula_numerics,reconstructed_transfer_convention
0.935,0.021928229798898,0.14,formula_numerics,reconstructed_transfer_convention
0.9400000000000001,0.021700620017714792,0.14,formula_numerics,reconstructed_transfer_convention
0.9450000000000001,0.021476510067114093,0.14,formula_numerics,reconstructed_transfer_convention
0.9500000000000001,0.021255829085782454,0.14,formula_numerics,reconstructed_transfer_convention
0.9550000000000001,0.021038507983362403,0.14,formula_numerics,reconstructed_transfer_convention
0.96,0.020824479388015307,0.14,formula_numerics,reconstructed_transfer_convention
0.965,0.020613677595772095,0.14,formula_numerics,reconstructed_transfer_convention
0.97,0.020406038521603335,0.14,formula_numerics,reconstructed_transfer_convention
0.975,0.020201499652142546,0.14,formula_numerics,reconstructed_transfer_convention
0.98,0.020000000000000007,0.14,formula_numerics,reconstructed_transfer_convention
0.985,0.0198014800596065,0.14,formula_numerics,reconstructed_transfer_convention
0.99,0.019605881764529366,0.14,formula_numerics,reconstructed_transfer_convention
0.995,0.019413148446205276,0.14,formula_numerics,reconstructed_transfer_convention
1.0,0.01922322479403688,0.14,formula_numerics,reconstructed_transfer_convention
1.0050000000000001,0.019036056816802233,0.14,formula_numerics,reconstructed_transfer_convention
1.01,0.018851591805328465,0.14,formula_numerics,reconstructed_transfer_convention
1.0150000000000001,0.01866977829638273,0.14,formula_numerics,reconstructed_transfer_convention
1.02,0.01849056603773585,0.14,formula_numerics,reconstructed_transfer_convention
1.025,0.0183139059543554,0.14,formula_numerics,reconstructed_transfer_convention
1.03,0.018139750115687185,0.14,formula_numerics,reconstructed_transfer_convention
1.035,0.01796805170398552,0.14,formula_numerics,reconstructed_transfer_convention
1.04,0.017798764983654198,0.14,formula_numerics,reconstructed_transfer_convention
1.045,0.017631845271561912,0.14,formula_numerics,reconstructed_transfer_convention
1.05,0.017467248908296942,0.14,formula_numerics,reconstructed_transfer_convention
1.055,0.017304933230327783,0.14,formula_numerics,reconstructed_transfer_convention
1.06,0.01714485654303709,0.14,formula_numerics,reconstructed_transfer_convention
1.065,0.016986978094598405,0.14,formula_numerics,reconstructed_transfer_convention
1.07,0.016831258050665526,0.14,formula_numerics,reconstructed_transfer_convention
1.075,0.016677657469846202,0.14,formula_numerics,reconstructed_transfer_convention
1.08,0.016526138279932545,0.14,formula_numerics,reconstructed_transfer_convention
1.085,0.016376663254861826,0.14,formula_numerics,reconstructed_transfer_convention
1.09,0.016229195992382216,0.14,formula_numerics,reconstructed_transfer_convention
1.095,0.016083700892399227,0.14,formula_numerics,reconstructed_transfer_convention
1.1,0.01594014313597918,0.14,formula_numerics,reconstructed_transfer_convention
1.105,0.01579848866498741,0.14,formula_numerics,reconstructed_transfer_convention
1.11,0.015658704162339217,0.14,formula_numerics,reconstructed_transfer_convention
1.115,0.015520757032843033,0.14,formula_numerics,reconstructed_transfer_convention
1.12,0.015384615384615385,0.14,formula_numerics,reconstructed_transfer_convention
1.125,0.015250248011048653,0.14,formula_numerics,reconstructed_transfer_convention
1.1300000000000001,0.015117624373312766,0.14,formula_numerics,reconstructed_transfer_convention
1.135,0.014986714583373162,0.14,formula_numerics,reconstructed_transfer_convention
1.1400000000000001,0.014857489387507583,0.14,formula_numerics,reconstructed_transfer_convention
1.145,0.014729920150305314,0.14,formula_numerics,reconstructed_transfer_convention
1.1500000000000001,0.014603978839132697,0.14,formula_numerics,reconstructed_transfer_convention
1.155,0.014479638009049774,0.14,formula_numerics,reconstructed_transfer_convention
1.16,0.01435687078816291,0.14,formula_numerics,reconstructed_transfer_convention
1.165,0.014235650863399488,0.14,formula_numerics,reconstructed_transfer_convention
1.17,0.014115952466690677,0.14,formula_numerics,reconstructed_transfer_convention
1.175,0.01399775036154904,0.14,formula_numerics,reconstructed_transfer_convention
1.18,0.013881019830028334,0.14,formula_numerics,reconstructed_transfer_convention
1.185,0.01376573666005303,0.14,formula_numerics,reconstructed_transfer_convention
1.19,0.013651877133105807,0.14,formula_numerics,reconstructed_transfer_convention
1.195,0.013539418012261465,0.14,formula_numerics,reconstructed_transfer_convention
1.2,0.013428336530556318,0.14,formula_numerics,reconstructed_transfer_convention
1.205,0.013318610379682322,0.14,formula_numerics,reconstructed_transfer_convention
1.21,0.013210217698995755,0.14,formula_numerics,reconstructed_transfer_convention
1.215,0.013103137064830446,0.14,formula_numerics,reconstructed_transfer_convention
1.22,0.012997347480106104,0.14,formula_numerics,reconstructed_transfer_convention
1.225,0.0128928283642224,0.14,formula_numerics,reconstructed_transfer_convention
1.23,0.012789559543230019,0.14,formula_numerics,reconstructed_transfer_convention
1.235,0.012687521240269934,0.14,formula_numerics,reconstructed_transfer_convention
1.24,0.0125866940662728,0.14,formula_numerics,reconstructed_transfer_convention
1.245,0.01248705901091025,0.14,formula_numerics,reconstructed_transfer_convention
1.25,0.012388597433790534,0.14,formula_numerics,reconstructed_transfer_convention
1.2550000000000001,0.012291291055890885,0.14,formula_numerics,reconstructed_transfer_convention
1.26,0.012195121951219513,0.14,formula_numerics,reconstructed_transfer_convention
1.2650000000000001,0.012100072538700166,0.14,formula_numerics,reconstructed_transfer_convention
1.27,0.012006125574272589,0.14,formula_numerics,reconstructed_transfer_convention
1.2750000000000001,0.011913264143202295,0.14,formula_numerics,reconstructed_transfer_convention
1.28,0.011821471652593486,0.14,formula_numerics,reconstructed_transfer_convention
1.285,0.011730731824098877,0.14,formula_numerics,reconstructed_transfer_convention
1.29,0.011641028686820695,0.14,formula_numerics,reconstructed_transfer_convention
1.295,0.011552346570397116,0.14,formula_numerics,reconstructed_transfer_convention
1.3,0.011464670098268603,0.14,formula_numerics,reconstructed_transfer_convention
1.305,0.011377984181118937,0.14,formula_numerics,reconstructed_transfer_convention
1.31,0.011292274010485687,0.14,formula_numerics,reconstructed_transfer_convention
1.315,0.011207525052535274,0.14,formula_numerics,reconstructed_transfer_convention
1.32,0.011123723041997729,0.14,formula_numerics,reconstructed_transfer_convention
1.325,0.011040853976256534,0.14,formula_numerics,reconstructed_transfer_convention
1.33,0.010958904109589041,0.14,formula_numerics,reconstructed_transfer_convention
1.335,0.010877859947553177,0.14,formula_numerics,reconstructed_transfer_convention
1.34,0.010797708241516088,0.14,formula_numerics,reconstructed_transfer_convention
1.345,0.010718435983320803,0.14,formula_numerics,reconstructed_transfer_convention
1.35,0.01064003040008686,0.14,formula_numerics,reconstructed_transfer_convention
1.355,0.010562478949141127,0.14,formula_numerics,reconstructed_transfer_convention
1.36,0.010485769313075113,0.14,formula_numerics,reconstructed_transfer_convention
1.365,0.010409889394925181,0.14,formula_numerics,reconstructed_transfer_convention
1.37,0.010334827313472187,0.14,formula_numerics,reconstructed_transfer_convention
1.375,0.010260571398657227,0.14,formula_numerics,reconstructed_transfer_convention
1.3800000000000001,0.010187110187110186,0.14,formula_numerics,reconstructed_transfer_convention
1.385,0.010114432417787986,0.14,formula_numerics,reconstructed_transfer_convention
1.3900000000000001,0.010042527027719423,0.14,formula_numerics,reconstructed_transfer_convention
1.395,0.009971383147853737,0.14,formula_numerics,reconstructed_transfer_convention
1.4000000000000001,0.009900990099009901,0.14,formula_numerics,reconstructed_transfer_convention
1.405,0.00983133738792401,0.14,formula_numerics,reconstructed_transfer_convention
1.41,0.009762414703391944,0.14,formula_numerics,reconstructed_transfer_convention
1.415,0.009694211912504793,0.14,formula_numerics,reconstructed_transfer_convention
1.42,0.009626719056974464,0.14,formula_numerics,reconstructed_transfer_convention
1.425,0.009559926349547004,0.14,formula_numerics,reconstructed_transfer_convention
1.43,0.009493824170501333,0.14,formula_numerics,reconstructed_transfer_convention
1.435,0.009428403064230996,0.14,formula_numerics,reconstructed_transfer_convention
1.44,0.009363653735906748,0.14,formula_numerics,reconstructed_transfer_convention
1.445,0.009299567048217782,0.14,formula_numerics,reconstructed_transfer_convention
1.45,0.009236134018189531,0.14,formula_numerics,reconstructed_transfer_convention
1.455,0.00917334581407594,0.14,formula_numerics,reconstructed_transfer_convention
1.46,0.009111193752324286,0.14,formula_numerics,reconstructed_transfer_convention
1.465,0.0090496692946106,0.14,formula_numerics,reconstructed_transfer_convention
1.47,0.008988764044943824,0.14,formula_numerics,reconstructed_transfer_convention
1.475,0.008928469746836885,0.14,formula_numerics,reconstructed_transfer_convention
1.48,0.008868778280542987,0.14,formula_numerics,reconstructed_transfer_convention
1.485,0.008809681660355308,0.14,formula_numerics,reconstructed_transfer_convention
1.49,0.008751172031968568,0.14,formula_numerics,reconstructed_transfer_convention
1.495,0.008693241669900759,0.14,formula_numerics,reconstructed_transfer_convention
1.5,0.008635882974973565,0.14,formula_numerics,reconstructed_transfer_convention
1.5050000000000001,0.008579088471849867,0.14,formula_numerics,reconstructed_transfer_convention
1.51,0.008522850806626953,0.14,formula_numerics,reconstructed_transfer_convention
1.5150000000000001,0.008467162744483924,0.14,formula_numerics,reconstructed_transfer_convention
1.52,0.008412017167381977,0.14,formula_numerics,reconstructed_transfer_convention
1.5250000000000001,0.008357407071816137,0.14,formula_numerics,reconstructed_transfer_convention
1.53,0.008303325566617245,0.14,formula_numerics,reconstructed_transfer_convention
1.5350000000000001,0.008249765870802775,0.14,formula_numerics,reconstructed_transfer_convention
1.54,0.00819672131147541,0.14,formula_numerics,reconstructed_transfer_convention
1.545,0.008144185321768038,0.14,formula_numerics,reconstructed_transfer_convention
1.55,0.00809215143883407,0.14,formula_numerics,reconstructed_transfer_convention
1.555,0.008040613301881957,0.14,formula_numerics,reconstructed_transfer_convention
1.56,0.007989564650252731,0.14,formula_numerics,reconstructed_transfer_convention
1.565,0.007938999321539601,0.14,formula_numerics,reconstructed_transfer_convention
1.57,0.00788891124974844,0.14,formula_numerics,reconstructed_transfer_convention
1.575,0.007839294463498288,0.14,formula_numerics,reconstructed_transfer_convention
1.58,0.007790143084260733,0.14,formula_numerics,reconstructed_transfer_convention
1.585,0.00774145132463737,0.14,formula_numerics,reconstructed_transfer_convention
1.59,0.007693213486674256,0.14,formula_numerics,reconstructed_transfer_convention
1.595,0.007645423960212591,0.14,formula_numerics,reconstructed_transfer_convention
1.6,0.007598077221274616,0.14,formula_numerics,reconstructed_transfer_convention
1.605,0.007551167830483989,0.14,formula_numerics,reconstructed_transfer_convention
1.61,0.0075046904315197,0.14,formula_numerics,reconstructed_transfer_convention
1.615,0.00745863974960281,0.14,formula_numerics,reconstructed_transfer_convention
1.62,0.007413010590015129,0.14,formula_numerics,reconstructed_transfer_convention
1.625,0.007367797836649158,0.14,formula_numerics,reconstructed_transfer_convention
1.6300000000000001,0.0073229964505884555,0.14,formula_numerics,reconstructed_transfer_convention
1.635,0.007278601468717799,0.14,formula_numerics,reconstructed_transfer_convention
1.6400000000000001,0.007234608002362322,0.14,formula_numerics,reconstructed_transfer_convention
1.645,0.007191011235955057,0.14,formula_numerics,reconstructed_transfer_convention
1.6500000000000001,0.0071478064257321046,0.14,formula_numerics,reconstructed_transfer_convention
1.655,0.0071049888984548466,0.14,formula_numerics,reconstructed_transfer_convention
1.6600000000000001,0.007062554050158547,0.14,formula_numerics,reconstructed_transfer_convention
1.665,0.007020497344926706,0.14,formula_numerics,reconstructed_transfer_convention
1.67,0.006978814313690584,0.14,formula_numerics,reconstructed_transfer_convention
1.675,0.006937500553053298,0.14,formula_numerics,reconstructed_transfer_convention
1.68,0.006896551724137933,0.14,formula_numerics,reconstructed_transfer_convention
1.685,0.0068559635514590786,0.14,formula_numerics,reconstructed_transfer_convention
1.69,0.006815731821817299,0.14,formula_numerics,reconstructed_transfer_convention
1.695,0.006775852383215939,0.14,formula_numerics,reconstructed_transfer_convention
1.7,0.0067363211437998375,0.14,formula_numerics,reconstructed_transfer_convention
1.705,0.00669713407081536,0.14,formula_numerics,reconstructed_transfer_convention
1.71,0.006658287189591331,0.14,formula_numerics,reconstructed_transfer_convention
1.715,0.006619776582540339,0.14,formula_numerics,reconstructed_transfer_convention
1.72,0.006581598388179987,0.14,formula_numerics,reconstructed_transfer_convention
1.725,0.00654374880017361,0.14,formula_numerics,reconstructed_transfer_convention
1.73,0.006506224066390043,0.14,formula_numerics,reconstructed_transfer_convention
1.735,0.006469020487981979,0.14,formula_numerics,reconstructed_transfer_convention
1.74,0.006432134418482544,0.14,formula_numerics,reconstructed_transfer_convention
1.745,0.0063955622629196076,0.14,formula_numerics,reconstructed_transfer_convention
1.75,0.006359300476947538,0.14,formula_numerics,reconstructed_transfer_convention
1.7550000000000001,0.0063233455659958875,0.14,formula_numerics,reconstructed_transfer_convention
1.76,0.00628769408443475,0.14,formula_numerics,reconstructed_transfer_convention
1.7650000000000001,0.006252342634756326,0.14,formula_numerics,reconstructed_transfer_convention
1.77,0.006217287866772404,0.14,formula_numerics,reconstructed_transfer_convention
1.7750000000000001,0.006182526476827354,0.14,formula_numerics,reconstructed_transfer_convention
1.78,0.006148055207026349,0.14,formula_numerics,reconstructed_transfer_convention
1.7850000000000001,0.00611387084447841,0.14,formula_numerics,reconstructed_transfer_convention
1.79,0.006079970220554023,0.14,formula_numerics,reconstructed_transfer_convention
1.795,0.006046350210156945,0.14,formula_numerics,reconstructed_transfer_convention
1.8,0.006013007731009942,0.14,formula_numerics,reconstructed_transfer_convention
1.805,0.005979939742954123,0.14,formula_numerics,reconstructed_transfer_convention
1.81,0.005947143247261585,0.14,formula_numerics,reconstructed_transfer_convention
1.815,0.005914615285961088,0.14,formula_numerics,reconstructed_transfer_convention
1.82,0.0058823529411764705,0.14,formula_numerics,reconstructed_transfer_convention
1.825,0.005850353334477536,0.14,formula_numerics,reconstructed_transfer_convention
1.83,0.005818613626243135,0.14,formula_numerics,reconstructed_transfer_convention
1.835,0.005787131015036208,0.14,formula_numerics,reconstructed_transfer_convention
1.84,0.005755902736990486,0.14,formula_numerics,reconstructed_transfer_convention
1.845,0.005724926065208662,0.14,formula_numerics,reconstructed_transfer_convention
